id;titre;annee;genre;auteur;lieu;note
6949;rg02;;;650;6949;-1.0
2106;chroniques parisiennes 22;;;0;2106;-1.0
5610;diana and i;2017;1;1768;5610;6.0
4764;alice nevers e104-105;;;0;4764;-1.0
5612;les aventures de richard;;;747;5612;-1.0
6945;find me in paris;2020;7;205;6945;7.3
6948;budapest;2018;7;476;6948;5.4
4769;les mysteres de l'amour;2020;7;1786;4769;-1.0
6960;les michetonneuses;;;682;6960;-1.0
5629;les fantasmes;2021;;1626;5629;-1.0
1265;otez moi d'un doute;;;0;1265;-1.0
6955;plaire...;2005;7;311;6955;6.0
7803;l'art du crime;2017;11;1634;7803;7.0
5626;meme pas froid;;;408;5626;-1.0
6973;jeux d'influence;;;1324;6973;-1.0
3463;genius saison 2 - picasso;;;1132;3463;-1.0
2130;ccqape;;;257;2130;-1.0
7810;anna m;2007;1;0;7810;6.7
7813;martin sexe faible;2015;7;1461;7813;6.6
7814;vernon subutex;2019;11;577;7814;6.7
5638;la consolation;2017;1;88;5638;4.8
7816;de pernas pro ar 3;;;1581;7816;-1.0
6982;un homme presse;;;0;6982;-1.0
7821;bad buzz;2017;7;665;7821;2.5
4313;marcus et mercier;;;999;4313;-1.0
6976;christ(off);2018;7;373;6976;4.2
7826;la verite si je mens - les debuts;;;0;7826;-1.0
5648;l'art de tomber a pic;;;0;5648;-1.0
7828;mike;2012;7;1362;7828;6.1
5660;famous;2000;0;0;5660;7.9
5662;une histoire de l'art;;;1306;5662;-1.0
7842;munch  saison 2;;;0;7842;-1.0
7841;osmosis;2019;6;0;7841;5.9
7832;l'art du crime saison 2;;;0;7832;-1.0
6985;presunto culpable;2018;13;614;6985;6.9
5656;balthazar 9,10;;;0;5656;-1.0
7834;world on fire;2019;1;704;7834;7.3
6987;le mystere henri pick;;;156;6987;-1.0
5659;clem saison 8 episodes 42 et 43;;;0;5659;-1.0
6989;oss 117 : alerte rouge en afrique noire;2021;10;1608;6989;-1.0
6507;la revanche des crevettes pailletees;;;1223;6507;-1.0
8700;francoeur - chasseur de reve;;;951;8700;-1.0
7850;l angle mort;;;1767;7850;-1.0
7853;les deux alfred;;;1509;7853;-1.0
5674;le reve francais;;;744;5674;-1.0
3013;le suicide d' emma peeters;;;0;3013;-1.0
2156;pourquoi je vis;2020;8;0;2156;6.6
7846;tout nous sourit;2020;7;1356;7846;5.2
6998;paris opera saison 2 (lena reve d'etoiles) 2;;;0;6998;-1.0
7848;la verite;1960;1;0;7848;7.6
7862;tout simplement noir;;;1720;7862;-1.0
5683;enchaines;;;0;5683;-1.0
8711;a nos ages;;;0;8711;-1.0
5200;clem saison 9;;;0;5200;-1.0
4353;tamara 2 demande n°5;;;0;4353;-1.0
7864;la boule du dragon;;;1792;7864;-1.0
7863;les choses qu'on dit, les choses qu'on fait;;;531;7863;-1.0
3019;curiosa;2019;8;90;3019;5.4
412;de gaulle, l'eclat et le secret;;;929;412;-1.0
8703;alice nevers, le juge est une femme/82 et 83;;;0;8703;-1.0
5676;selene 66 questions;;;303;5676;-1.0
8704;une saison en france;;;1022;8704;-1.0
416;annee 2020;;;1649;416;-1.0
7854;profilage episodes 95/96;;;0;7854;-1.0
7856;munch saison 3;;;1020;7856;-1.0
